"file","function","line_call","purpose","active","publication_facing","rendering_or_statistical","explicit_seed","seed_value_or_source","consumes_global_rng","downstream_artifact","inferential_role","action_needed","governance"
"analysis/differential_abundance/compare_go_enrichment.R","slice_sample","2951: slice_sample(prop = 1, replace = TRUE)","bootstrap enrichment stability: stratified resample of enrichment-result rows by Comparison, 100 repeats. UNREACHABLE: sits in the legacy tail after the unconditional top-level quit() at :569",FALSE,TRUE,"statistical",FALSE,"NONE - no set.seed anywhere in the 4321-line script","n/a - the call cannot execute; if reached it would draw from and advance the global stream","08_Bootstrap_Stability_Summary.xlsx - 4 superseded copies AND 1 copy staged in pride_submission/supplementary_tables/ flagged intended_for_PRIDE=TRUE; no code reads any of them","UNUSED","R1 for the RNG - seeding unreachable code is a no-op. SEPARATE non-RNG defect: the PRIDE-staged orphan is irreproducible and unregenerable; needs a curation decision, not a seed","UNGOVERNED_in_file"
"analysis/differential_abundance/test_microglia_targeted_signatures.R","fgseaSimple","888: fgseaSimple( pathways = pathways, stats = stats, minSize = 3, maxSize = 500, nperm = 1000, nproc = 1 )","fgseaSimple nperm=1000 permutation p-values for targeted microglia signatures",TRUE,TRUE,"statistical",TRUE,"run_with_stable_gsea_rng(gsea_seed = targeted_enrichment_reproducibility(dataset, comparison, method, TARGETED_GSEA_SEED_BASE)$gsea_seed)","no - withr::with_preserve_seed restores the stream; RNGkind restored in finally","targeted signature enrichment tables + publication figures","PRIMARY_INFERENCE","none - already a deterministic, parallel-safe contract","UNGOVERNED_in_file"
"analysis/differential_abundance/test_microglia_targeted_signatures.R","fgsea","893: fgsea( pathways = pathways, stats = stats, minSize = 3, maxSize = 500, BPPARAM = BiocParallel::SerialParam() )","fgsea (BiocParallel SerialParam) fallback branch of the same targeted GSEA",TRUE,TRUE,"statistical",TRUE,"run_with_stable_gsea_rng(gsea_seed = ...) - same wrapper","no - with_preserve_seed","targeted signature enrichment tables + publication figures","PRIMARY_INFERENCE","none - already deterministic","UNGOVERNED_in_file"
"analysis/differential_abundance/test_microglia_targeted_signatures.R","fgsea","898: fgsea( pathways = pathways, stats = stats, minSize = 3, maxSize = 500, nproc = 1 )","fgsea (nproc=1) fallback branch of the same targeted GSEA",TRUE,TRUE,"statistical",TRUE,"run_with_stable_gsea_rng(gsea_seed = ...) - same wrapper","no - with_preserve_seed","targeted signature enrichment tables + publication figures","PRIMARY_INFERENCE","none - already deterministic","UNGOVERNED_in_file"
"analysis/qc/assess_dataset_quality.R","umap","197: umap(embedding_input, n_threads = 1)","UMAP embedding for QC exploration",TRUE,TRUE,"statistical",TRUE,"set.seed(20260623) at :196","yes - sets and advances global","QC UMAP figure","VISUALIZATION_ONLY","none - seeded","seeded_inline"
"analysis/qc/assess_dataset_quality.R","Rtsne","229: Rtsne(embedding_input, dims = 2, perplexity = perplexity, pca = FALSE, theta = 0.5, check_duplicates = FALSE, verbose = FALSE)","t-SNE embedding for QC exploration",TRUE,TRUE,"statistical",TRUE,"set.seed(20260623) at :228","yes","QC t-SNE figure","VISUALIZATION_ONLY","none - seeded","seeded_inline"
"analysis/qc/assess_joint_compartment_quality.R","umap","95: umap(pc_input, n_neighbors = min(15L, nrow(pc_input) - 1L), n_threads = 1, verbose = FALSE, ret_model = FALSE)","UMAP embedding for joint-compartment QC",TRUE,TRUE,"statistical",TRUE,"set.seed(seed) on the same line (one-line script)","yes","joint compartment QC figure","VISUALIZATION_ONLY","none - seeded","UNGOVERNED_in_file"
"analysis/qc/assess_joint_compartment_quality.R","Rtsne","101: Rtsne(pc_input, dims = 2, perplexity = perplexity, check_duplicates = FALSE, pca = FALSE, verbose = FALSE, max_iter = 1000)","t-SNE embedding for joint-compartment QC",TRUE,TRUE,"statistical",TRUE,"set.seed(seed) at :101","yes","joint compartment QC figure","VISUALIZATION_ONLY","none - seeded","seeded_inline"
"analysis/qc/assess_pca_confounding.R","umap","183: umap(embedding_input, n_threads = 1)","UMAP embedding for PCA-confounding QC",TRUE,TRUE,"statistical",TRUE,"set.seed(20260623) at :182","yes","PCA confounding figure","VISUALIZATION_ONLY","none - seeded","seeded_inline"
"analysis/qc/assess_pca_confounding.R","Rtsne","216: Rtsne(embedding_input, dims = 2, perplexity = perplexity, pca = FALSE, theta = 0.5, check_duplicates = FALSE, verbose = FALSE)","t-SNE embedding for PCA-confounding QC",TRUE,TRUE,"statistical",TRUE,"set.seed(20260623) at :215","yes","PCA confounding figure","VISUALIZATION_ONLY","none - seeded","seeded_inline"
"analysis/qc/assess_pca_confounding.R","kmeans","255: kmeans(pcs, centers = min(3L, nrow(pcs) - 1L), nstart = 50)","k-means cluster labels on the QC embedding (random starts)",TRUE,TRUE,"statistical",TRUE,"set.seed(20260623) at :215","yes","PCA confounding cluster assignment + figure","DESCRIPTIVE_DIAGNOSTIC","none - seeded","seeded_inline"
"analysis/spatial_networks/test_differential_network_stability.R","sample","177: sample(cols, size = length(cols), replace = TRUE)","stratified bootstrap resample of sample columns for differential network stability",TRUE,FALSE,"statistical",TRUE,"set.seed(params$seed) at :426 before the call sites","yes","results/tables/07_spatial_networks/bootstrap_differential_network_stability/** (IN the live manuscript package)","SENSITIVITY_ANALYSIS","none - seeded; verify the :221 call site is also reached post-seed","seeded_caller_partial"
"analysis/spatial_networks/test_network_stability.R","sample","137: sample(sample_md$SampleColumn, size = nrow(sample_md), replace = TRUE)","bootstrap resample of sample columns for network edge/node stability",TRUE,FALSE,"statistical",TRUE,"set.seed(params$seed) at :249 before the call site at :268","yes","results/tables/07_spatial_networks/bootstrap_network_stability/** (IN the live manuscript package)","SENSITIVITY_ANALYSIS","none - seeded","seeded_caller"
"analysis/spatial_validation/validate_spatial_foundations.R","runif","161: runif(20)","synthetic jitter/perturbation in a spatial-foundation validation fixture",TRUE,FALSE,"statistical",TRUE,"set.seed(11) at :158","yes","spatial validation report","DESCRIPTIVE_DIAGNOSTIC","none - seeded","seeded_inline"
