"abstract_id","abstract_phrase","quantity_or_claim","value_as_printed","resolves_to","source_of_record","red_team_check","verified"
"AB-01","How early that divergence becomes detectable, and how it is represented across the anatomically heterogeneous hippocampus, are open questions","framing; no quantity","none","Introduction paragraphs 1 and 3","citation_needs.csv CIT-01, CIT-02, CIT-05","Stated as open questions, not as a gap the paper closes. Anatomically heterogeneous is supported by CIT-05 and CIT-06 and is a property of the structure, not a result of this study.","VERIFIED"
"AB-02","Radio-frequency-identification home-cage activity, recorded over a fixed 12 h from the first cage change of an adolescent social-instability paradigm","early observation window","fixed 12 h from the first cage change","Results 1 paragraph 1","S1-01; figure1_methods_contract.csv FM-01","The abstract omits the 18:30-06:30 clock times and the 10-min binning, which are in Results and Methods. Omission of detail, not alteration: no stated value differs.","VERIFIED"
"AB-03","predicted a later composite outcome score in animals withheld from fitting","out-of-sample prediction of continuous CombZ","qualitative","Results 1 paragraph 3","C1-8; figure1_claim_contract.csv F1-06","Predicted is licensed only for the continuous CombZ target and only out of sample. The abstract does not say predicted susceptibility, predicted the group, or predicted resilience, all of which the claim contract prohibits. Withheld from fitting states the internal cross-validation without the word validated.","VERIFIED"
"AB-04","leave-one-animal-out R2 = 0.159","LOAO R2, movement_mean","0.159","Results 1 paragraph 3","S1-08; behavior_prediction_model_ladder.csv row movement_mean, column loao_r2 = 0.1593945585532","Rounds 0.15939... to three significant figures, matching Results. No re-derivation.","VERIFIED"
"AB-05","against -0.018 for an intercept-only baseline","LOAO R2, mean_only baseline","-0.018","Results 1 paragraph 3","S1-09; behavior_prediction_model_ladder.csv row mean_only, column loao_r2 = -0.0182644628099176","Carried into the abstract deliberately: R2 = 0.159 is uninterpretable without the baseline it is measured against, and a negative baseline is the honest comparator here.","VERIFIED"
"AB-06","P = 1/1001 by full-refit outcome permutation","permutation P","1/1001","Results 1 paragraph 3","S1-11; behavior_prediction_model_ladder.csv permutation_p = 0.000999000999000999","Printed as the exact attainable value 1/1001 rather than as P < 0.001, because 1/1001 is the floor of a 1000-draw permutation and stating it that way prevents the reader inferring a smaller P than the design can produce.","VERIFIED"
"AB-07","n = 111","analysis population","111 animals","Results 1 paragraph 3","S1-05; C1-13","The behavioural analysis population is 111; the CombZ workbook holds 117. The abstract states the analysis n, matching Results.","VERIFIED"
"AB-08","using a model fixed before fitting","no model selected on observed performance","qualitative","Results 1 paragraph 3","C1-8, C1-14; figure1_methods_contract.csv FM-07","Deliberately not worded as pre-registered, which would imply a public registration that does not exist. Extended Data Fig. 9a displays the complete registry that licenses this phrase.","VERIFIED"
"AB-09","The window closed before any outcome component was measured, so the classification did not yet exist","temporal precedence","design fact","Results 1 paragraph 1","C1-1; figure1_timeline_contract.csv","A design fact, not a test. This is the sentence that licenses the word predicted in AB-03 and is the reason it may not be downgraded to associated with.","VERIFIED"
"AB-10","across 18 hippocampal spatial units in nine animals","study scale","18 units; 9 animals","Results 2 paragraph 1; Methods Animals and experimental design","M-15","Nine animals, three per outcome group. The abstract does not state 323 acquisitions, because acquisitions are repeated measurements and quoting them beside n would invite reading them as replicates.","VERIFIED"
"AB-11","resolved molecular organisation that was reproducible between the two hemispheres of one animal","bilateral concordance","qualitative","Results 2 paragraph on bilateral concordance","C2-4; S-rows behind Fig. 2f","Worded as reproducible between the two hemispheres of one animal, never as reproducible or replicated without qualification. Hemispheres are repeated tissue; this is internal consistency, not independent replication, and Results says so explicitly.","VERIFIED"
"AB-12","recovered all ten a-priori expected pairings with published subregion signatures","external anatomical validation","10 of 10","Results 2 final paragraph","C2-5; Kaulich et al. 2025, citation_needs.csv","A-priori expected is retained from Results; without it, ten of ten reads as ten of all pairings tested, when 30 were tested. The abstract does not claim external validation for the microglia-enriched compartment, for which no external signature exists.","VERIFIED"
"AB-13","differed sparsely in individual proteins","sparse protein-level differences","qualitative","Results 3 paragraph 1","C3-1","Sparse is the word Results uses. Not widespread, not no difference.","VERIFIED"
"AB-14","37 reached FDR support","FDR-supported SUS-RES differences","37","Results 3 paragraph 1","C3-1; v9_dap_track_source_data.csv","BH within the differential-abundance family. Protein-level and program-level families are separate and are never placed on a common scale.","VERIFIED"
"AB-15","12 of the 18 units contained none","units with no supported protein","12 of 18","Results 3 paragraph 1","C3-1","Reported as failure to reach support at three animals per group, never as evidence of no difference.","VERIFIED"
"AB-16","15 were not excluded by a prespecified missingness audit","robustness-qualified proteins","15","Results 3 paragraph 2","C3-2; M-30; methods_todo.csv MT-05","Deliberately worded as not excluded rather than survived, passed or were confirmed. Results states that robustness-qualified means not excluded by the CA2-SLM missingness audit and not passed an additional test; an abstract verb implying a second test would contradict it. CA2-SLM is not named and is never called a hotspot.","VERIFIED"
"AB-17","showed coordinated differences in molecular programs, including in units where no individual protein reached support","program-level differences","qualitative","Results 3 paragraph 3","C3-3","The atlas is a descriptive summary with no theme-level FDR family, so the abstract states detectability and spatial extent and asserts no theme-level significance. Region-specific, layer-specific, selective and restricted are all absent.","VERIFIED"
"AB-18","These are separate findings about one cohort: no evidence joined the behavioural result to the proteomic one","non-integration","stated absence","Results 4 CLOSED; Discussion opening and Limitations","Results section 4 closure note; discussion_statement_provenance.csv LIMITATION rows","The single most important sentence in the abstract. Direct behaviour-proteome integration reaches no result at FDR < 0.05 in either repository, and this states that rather than omitting it. Without it, the two halves of the abstract read as a chain.","VERIFIED"
