module_eigengene,ModuleColor,Supermodule_Manual,ManualConfidence,ManualRationale
MEforestgreen,forestgreen,RNA processing / translation regulation,high,"Top GO label is RNA processing; grouped with ncRNA and translation modules as an RNA expression-control program."
MEkhaki,khaki,RNA processing / translation regulation,moderate-high,"Top GO label is regulatory ncRNA-mediated gene silencing; mechanistically close to RNA regulation."
MEcoral,coral,RNA processing / translation regulation,high,"Top GO label is cytoplasmic translational initiation; complements RNA processing modules."
MEmediumaquamarine,mediumaquamarine,Proteostasis / post-translational regulation,high,"Top GO label is ubiquitin-dependent protein catabolic process, consistent with proteostasis."
MElightpink,lightpink,Proteostasis / post-translational regulation,high,"Top GO label is protein folding, consistent with chaperone/proteostasis biology."
MEplum,plum,Proteostasis / post-translational regulation,moderate-high,"Top GO label is protein dephosphorylation; interpreted as post-translational regulation."
MElemonchiffon,lemonchiffon,Energy metabolism / mitochondrial support,high,"Top GO label is generation of precursor metabolites and energy."
MEaquamarine,aquamarine,Energy metabolism / mitochondrial support,moderate-high,"Top GO label is acetyl-CoA biosynthetic process, linked to metabolic support."
MEdeepskyblue,deepskyblue,Synaptic and vesicle organization,high,"Top GO label is synapse organization."
MElightblue,lightblue,Synaptic and vesicle organization,high,"Top GO label is vesicle organization, linked to synaptic vesicle/trafficking biology."
MEgold,gold,Developmental patterning / tissue-identity annotations,moderate,"Top GO label is dorsal-ventral pattern formation; interpreted cautiously as patterning/tissue identity."
MElavender,lavender,Developmental patterning / tissue-identity annotations,low-moderate,"Top GO label is skin development; retained as a tissue-identity style annotation but flagged as lower confidence."
MEsaddlebrown,saddlebrown,Motility / structural remodeling,moderate,"Top GO label is negative regulation of cell motility, consistent with remodeling/motility annotation."
