"review_id","question","verdict","evidence","enforced_by"
"F1FIG-01","Does any panel use outcome information in the predictor?","NO","Panel d carries model_id movement_mean only, whose sole predictor is Movement_mean and which upstream records uses_group = FALSE. Group appears in panel c's source table as a display column and is never mapped to an aesthetic in the renderer.","test-figure-01-renderer.R: unique(d$model_id) == movement_mean"
"F1FIG-02","Are the LOAO predictions actually out-of-fold?","YES","111 rows with row_role = heldout_prediction and validation_scheme = Leave-one-animal-out, copied from the canonical prediction table. Each animal's value comes from a model refitted on the other 110.","frozen source contract; upstream loo_lm_predict enforces one row per AnimalNum"
"F1FIG-03","Does the figure imply binary RES/SUS prediction?","NO","Panels d and e plot continuous CombZ on both axes. No classifier exists anywhere upstream, so there is no ROC, AUC or accuracy to display, and none appears in the source data or the legend.","legend wording guard bans predicts susceptibility and predicts resilience"
"F1FIG-04","Does colour coding make Group look like a model predictor?","NO","Panel c is deliberately single-colour: the renderer maps no group aesthetic. Group colour appears only in panel b, which is the definition panel and makes no inferential claim.","renderer contains no colour = Group mapping in the association panel"
"F1FIG-05","Are classification-defining variables presented as independent validation?","NO","The six components that construct CombZ are absent from the panel b source table entirely, so they cannot be plotted. The legend states that differences between the resulting groups in those components are guaranteed by construction.","test asserts the six component columns are absent from 1b"
"F1FIG-06","Is a non-significant sex difference visually exaggerated?","NO","There is no sex-stratified association panel. Panel b splits by sex only because the classification threshold is referenced within sex, and it prints no test. Panel c is explicitly unstratified because the formal interaction is unsupported at all q = 0.90.","legend states the interaction is unsupported; no stratified panel exists"
"F1FIG-07","Is Entropy_acf1 presented as supported?","NO","Entropy does not appear in any main-figure source table or in the legend. It is not FDR-supported upstream (q = 0.067) and is excluded from the main figure entirely.","test asserts no entropy column in any main-figure source table"
"F1FIG-08","Is RMSSD visually promoted to equal status with mean movement?","NO","RMSSD does not appear in any main-figure source table or in the legend. It is a weaker secondary association and belongs in Extended Data.","test asserts no rmssd column in any main-figure source table"
"F1FIG-09","Is the repeated-CV seed correct?","YES - 521","figure1f_repeated_cv_source.csv records repeated_cv_seed = 521, read from the single source of truth that the canonical call site also reads. This is distinct from the association bootstrap seed 123, which the two were previously confused for.","test asserts sv(1f, repeated CV seed) == 521"
"F1FIG-10","Does any legend say movement-only?","NO","The legend names the model the movement-mean model throughout. The string movement-only occurs only in the legend's own constraints table, where it is listed as prohibited.","legend wording guard with a denial exemption"
"F1FIG-11","Is any validation called independent or external?","NO","The legend states: Validation is internal: animals were withheld within a single cohort, not tested in an independent cohort.","legend wording guard bans external validation, externally validated and independent validation"
"F1FIG-12","Does panel b clearly distinguish definition from validation?","YES","Panel b shows the classification rule - control mean, control population SD and the same-sex threshold - and nothing that could be read as a test. The legend says in terms that this panel shows how the groups were defined and is not independent confirmation.","components absent from source data; legend must contain the word guaranteed"
"F1FIG-13","Are all plotted points biological animals rather than technical observations?","YES","Panel b 117 unique animals, panel c 111, panel d 111, with no duplicate AnimalID in any of them and a consistent cohort between c and d. Panel e plots permutation draws, which are explicitly labelled as such on the axis.","test asserts row counts, uniqueness and setequality of the c and d cohorts"
"F1FIG-14","Are all displayed numbers recoverable from the frozen source tables?","YES","The renderer resolves every printed statistic through figure1_panel_statistics.csv and raises an error if a statistic is not in that index. No statistic is hard-coded as a literal anywhere in the renderer.","renderer stat() has no fallback; test reproduces every indexed value to 1e-12"
