"statement_id","manuscript_section","statement","statement_class","resolves_to_claim","evidence_basis","prohibited_reading","verification_status"
"D-01","Discussion opening","Spontaneous home-cage movement recorded early in the paradigm carries information about where an animal's later composite outcome will fall, prospectively","RESULT","C1-5, C1-8, C1-1","frozen Figure 1 bridge; association and held-out prediction","that early movement causes the later outcome","VERIFIED_FROM_EXISTING_CLAIM"
"D-02","Discussion opening","Spatially resolved hippocampal proteomics recovers reproducible anatomical organisation whose resolution differs between compartments","RESULT","C2-2, C2-3, C2-4","Results 2","that resolution is uniform, or that compartments are purified populations","VERIFIED_FROM_EXISTING_CLAIM"
"D-03","Discussion opening","Later outcomes are accompanied by few robust individual-protein differences but by coordinated molecular-program differences across spatial contexts","RESULT","C3-1, C3-3","Results 3","that program-level detection is more truthful than protein-level testing","VERIFIED_FROM_EXISTING_CLAIM"
"D-04","Discussion opening","We did not find evidence joining the behavioural and proteomic findings and do not present them as a chain","LIMITATION","BH-006 as recorded in figure1_bridge_conflicts.csv and Results 4","edge-behaviour analysis, 0 of 48 tests supported","that an integration exists but was omitted","VERIFIED_FROM_EXISTING_CLAIM"
"D-05","Discussion, early behaviour","The predictor cannot have been shaped by the outcome or by the grouping, because the window closes before any outcome component is measured","RESULT","C1-1","frozen timeline contract; design fact","that temporal precedence establishes mechanism","VERIFIED_FROM_EXISTING_CLAIM"
"D-06","Discussion, early behaviour","The association carries predictive information about individual animals rather than describing only a group-level trend","INTERPRETATION","C1-8, C1-9","held-out prediction exceeding a full-refit permutation null","that prediction is accurate, or that binary phenotype is predicted","INTERPRETATION_LABELLED"
"D-07","Discussion, early behaviour","An R2 near 0.16 leaves most variation unexplained; the appropriate reading is that early behaviour contains some prospective information, not that outcome can be anticipated","INTERPRETATION","C1-8","LOAO R2 against an intercept-only baseline","that the model is useful for individual-animal forecasting","INTERPRETATION_LABELLED"
"D-08","Discussion, early behaviour","What the early movement signal represents is not resolved; trait, early stress response and mediator cannot be distinguished by this design","LIMITATION","C1-8, C1-10","design fact; no manipulation, no repeated pre-exposure baseline","that any one of the listed interpretations is supported over the others","INTERPRETATION_LABELLED"
"D-09","Discussion, early behaviour","Cage identity was not represented in the analysis design, so cage-level dependence could not be assessed; this bounds generalisation and is not a leakage route","LIMITATION","C1-12","frozen bridge FM-12 and F1-10","that cage structure invalidates the prediction","VERIFIED_FROM_EXISTING_CLAIM"
"D-10","Discussion, sex","Formal feature-by-sex interaction tests were unsupported; we claim neither a sex-specific relationship nor equivalence between sexes","RESULT + LIMITATION","C1-11","frozen bridge F1-08, all interaction q = 0.90","that the relationship is female-specific, or that it is proven identical","VERIFIED_FROM_EXISTING_CLAIM"
"D-11","Discussion, platform","Compartment rather than experimental group dominates global dataset structure, which is the ordering a spatial experiment is designed to produce","RESULT","C2-2","joint PCA variance decomposition, descriptive","that the decomposition is a hypothesis test","VERIFIED_FROM_EXISTING_CLAIM"
"D-12","Discussion, platform","Distinctions within CA1 strata and among microglia-enriched regional contrasts warrant more conservative interpretation","INTERPRETATION","C2-4","bilateral concordance inventory","that CA1 laminar results are invalid","INTERPRETATION_LABELLED"
"D-13","Discussion, platform","The microglia-enriched compartment is a local microenvironment sampled to favour microglia, not a purified population, and reference affinity is contextual support rather than proof of cell-intrinsic origin","LIMITATION","C2-5","sampling definition; external-reference validation scope","that any microglial signal is cell-intrinsic","VERIFIED_FROM_EXISTING_CLAIM"
