"superseded_script","value_kind","adjudication","corrected_in_6i8","basis"
"analysis/preprocessing/build_animal_level_protigy_input.R","PROSE_NOT_PATH","PROSE_NOT_PATH",FALSE,"Exclusion-with-explanation: ProTigy is an external/manual boundary, documented in RUN_ORDER.md. Not a successor claim."
"archive/01_preprocessing/03c_legacy_vs_animal_level_da_audit.r","PROSE_NOT_PATH","PROSE_NOT_PATH",FALSE,"Exclusion-with-explanation: standalone diagnostic registered with stage='diagnostic'. Not a successor claim."
"archive/01_preprocessing/01_impute.r","PROSE_NOT_PATH","NO_SUCCESSOR",TRUE,"FALSE CLAIM, corrected. Named extract_protigy_contrasts.R, which is three steps downstream and consumes this script's descendants. Zero output overlap: this writes imputed .xlsx matrices, that writes contrast .csv. No active script performs imputation; outputs remain required inputs."
"archive/01_preprocessing/02_excel_convert.r","PROSE_NOT_PATH","RELATED_BUT_NOT_SUCCESSOR",TRUE,"FALSE CLAIM, corrected. Named extract_protigy_contrasts.R, which sits on the far side of the external ProTigy boundary this script feeds. Output families disjoint: _with_metadata.{xlsx,gct} versus contrast .csv. Outputs remain a required input."
"archive/01_preprocessing/04_format_metadata.r","REAL_SCRIPT_PATH","FUNCTIONAL_SUCCESSOR",FALSE,"Metadata preparation responsibility assumed by build_module_score_metadata.R, which produces the merged module-score metadata workbook."
"archive/01_preprocessing/05_metadata_create.r","REAL_SCRIPT_PATH","FUNCTIONAL_SUCCESSOR",FALSE,"Metadata preparation responsibility assumed by build_module_score_metadata.R."
"archive/04_differential_expression_enrichment/legacy/04_compare_pathways.r","REAL_SCRIPT_PATH","RELATED_BUT_NOT_SUCCESSOR",FALSE,"Bespoke learning-signature workbook comparison. Status itself records it as not part of the canonical dataset pipeline; the work was dropped rather than reassigned. Successor operates in the same domain only."
"archive/04_differential_expression_enrichment/legacy/05_compare_sig_expr.r","REAL_SCRIPT_PATH","RELATED_BUT_NOT_SUCCESSOR",FALSE,"Bespoke learning-signature expression comparison, same reasoning as 04_compare_pathways.r."
"archive/04_differential_expression_enrichment/legacy/07_control_strata_enrichment_figures.r","REAL_SCRIPT_PATH","RELATED_BUT_NOT_SUCCESSOR",FALSE,"Bespoke control-strata figure helper requiring variancePartition-era inputs. Successor produces compareGO manifests and tables, not these figures."
"archive/05_celltype_enrichment_EWCE/90_EWCE_legacy.r","REAL_SCRIPT_PATH","FUNCTIONAL_SUCCESSOR",FALSE,"Legacy EWCE script; run_ewce_celltype_enrichment.R assumes the same cell-type enrichment responsibility in canonical namespaces."
"analysis/wgcna/build_module_spatial_networks.R","REAL_SCRIPT_PATH","FUNCTIONAL_SUCCESSOR",FALSE,"Argument-driven module spatial-network helper; build_spatial_networks.R assumes the spatial-network responsibility."
"09_pride_submission/00_make_pride_package.R","PROSE_NOT_PATH","PROSE_NOT_PATH",FALSE,"Directory-shaped value naming an export area, not a script path."
"analysis/publication_source_data/RUN_EXPORT.R","PROSE_NOT_PATH","PROSE_NOT_PATH",FALSE,"Command invocation with a stage flag, not a bare script path."
"archive/02_qc/04d_compartment_marker_fidelity.r","REAL_SCRIPT_PATH","PARTIAL_SUCCESSOR",FALSE,"Deprecated sample-level cross-compartment inference; the successor renders compartment abundance figures and takes over part of the display responsibility only."
"archive/08_integration/01_compartment_fidelity_summary.R","REAL_SCRIPT_PATH","PARTIAL_SUCCESSOR",FALSE,"Superseded poster summary with no current consumer; successor takes over part of the display responsibility only."
"audits/preprocessing/03b_directionality_audit_raw_vs_protigy.r","PROSE_NOT_PATH","PROSE_NOT_PATH",FALSE,"Exclusion-with-explanation: diagnostic-only audit, no canonical downstream consumer."
"audits/preprocessing/01b_animal_level_mapping_audit.r","PROSE_NOT_PATH","PROSE_NOT_PATH",FALSE,"Exclusion-with-explanation: validation-only audit of isolated animal-level mapping outputs."
"audits/integration/07_gsea_wgcna_concordance_correction_audit.R","PROSE_NOT_PATH","PROSE_NOT_PATH",FALSE,"Exclusion-with-explanation: historical before/after audit requiring a preserved baseline."
"audits/wgcna/proteomics_wgcna_downstream_audit.R","PROSE_NOT_PATH","PROSE_NOT_PATH",FALSE,"Exclusion-with-explanation: root-level read-only audit utility."
