"claim_id","claim_text_candidate","claim_class","analysis_source","biological_n","statistical_support","allowed_wording","prohibited_wording","figure_panel","status"
"F1-01","Later outcome is heterogeneous across stress-exposed animals and is summarised by a composite stress-burden score.","DESCRIPTIVE","Analysis/build_later_outcome_combz.R","111 (117 in workbook)","descriptive; no test","later composite stress-burden score; higher = more resilient-like","behavioural score; depression score; higher = worse","1a","READY"
"F1-02","Resilient and susceptible animals differ in the measures that define them.","BY_CONSTRUCTION","Analysis/build_later_outcome_combz.R","93 stress-exposed","none - the classification thresholds CombZ, so the direction is guaranteed","describes the classification; the groups are defined by these measures","independent validation of the grouping; group difference as a finding","1a","READY"
"F1-03","Mean movement in the first active 12 h after the first cage change is negatively associated with later CombZ (rho = -0.39, 95% CI [-0.547, -0.209], q = 6.9e-05).","DIRECT_ASSOCIATION","Analysis/09_early_prediction_model_ladder.R","111","Spearman with 5000-sample bootstrap CI; BH over three prespecified features","associated with; greater early activity corresponded to greater later stress burden","causes; drives; determines; biomarker","1c","READY"
"F1-04","Movement RMSSD over the same window is negatively associated with later CombZ (rho = -0.226, q = 0.026).","DIRECT_ASSOCIATION","Analysis/09_early_prediction_model_ladder.R","111","as F1-03","supporting association","independent predictive contribution","1c","READY"
"F1-05","Entropy ACF1 is NOT FDR-supported at the primary resolution (rho = -0.175, CI includes zero, q = 0.067).","LIMITATION","Analysis/09_early_prediction_model_ladder.R","111","bootstrap CI includes zero; not BH-supported","inconclusive; did not reach FDR support; carries essentially no information beyond mean movement","significant; supported; a third predictor","1c","READY"
"F1-06","A fixed a priori behaviour-only model using mean movement predicts later CombZ out of sample (LOAO R2 = 0.159; repeated grouped 5-fold mean R2 = 0.156 [0.116, 0.179]; permutation p = 1/1001).","OUT_OF_SAMPLE_PREDICTION","Analysis/09_early_prediction_model_ladder.R","111","leave-one-animal-out with full-refit outcome permutation","predicts out of sample; prospective prediction; internal validation","externally validated; replicated; causal; biomarker","1d","READY"
"F1-07","Adding features or sex does not improve prediction (three-feature R2 = 0.152; +sex 0.152 and 0.142 versus 0.159 for movement alone).","DESCRIPTIVE","Analysis/09_early_prediction_model_ladder.R","111","no model-comparison significance test was performed","did not improve on; performed no better than","significantly worse; the three-feature model is inferior","1d","READY"
"F1-08","The feature-CombZ associations do not differ detectably by sex (all interaction q = 0.9; stratified rho female -0.41, male -0.42 for mean movement).","INTERACTION","Analysis/09_early_prediction_model_ladder.R","111 (58 female, 53 male)","formal feature-by-sex interaction, BH over three tests","did not differ detectably by sex; present in both sexes; sex-stratified estimates are descriptive","female-specific; sex-specific; stronger in females; driven by females","1e","READY"
"F1-09","The early window precedes every component of the later outcome, so the classification did not exist at the time of recording.","TEMPORAL","docs/COMBZ_CANONICAL_DEFINITION.md section 6","111","design fact, not a test","later outcome group; subsequent phenotype classification; prospective","baseline group; predicted group at recording","1b","READY"
"F1-10","Validation is internal; cage identity is not represented in the prediction design.","LIMITATION","Analysis/09_early_prediction_model_ladder.R","111","none","internal validation; may be optimistic with respect to cage-level structure","externally validated; generalises to new cohorts","1d","READY"
