"review_id","checklist_question","sentence","verdict","action_taken","evidence"
"RT-01","Q9 specificity / Q1 verb licensing / Q4 contrast / numbers","The lower tail is specific to CA1: ... the three CA1 strata contrasts were the least reproducible in the dataset","REAL DEFECT - flagged BLOCKER by four independent reviewers","SENTENCE REMOVED AND PARAGRAPH REWRITTEN","Re-derived from bilateral_spatial_identity_summary.csv: CA1-SLM r = 0.7383 ranks 8th of 15, at the inventory median; four non-CA1 contrasts fall below it (microglia CA2 0.4951, CA1 0.5381, CA3 0.5793; neuropil CA1_SO_vs_CA3_SO 0.5812). Claim was false AND used a reserved word."
"RT-02","Q3 data vs interpretation / Q2 biological n","compartment accounted for essentially all of the variance along PC1 (eta2 = 0.96, P = 1.2e-217) ... (eta2 = 8.5e-05, P = 0.99)","REAL DEFECT - flagged BLOCKER by three independent reviewers","BOTH P VALUES REMOVED; eta-squared retained with an explicit descriptive statement","F2c legend: 'Descriptive; no hypothesis test is performed in this panel.' The P values' degrees of freedom come from 323 acquisitions, which the preceding paragraph declares are not independent replicates."
"RT-03","Q1 verb licensing","it establishes that the outcome-associated differences examined later are small relative to compartment identity","REAL DEFECT - 'establishes' exceeds the claim-verb registry, and the clause is a cross-family magnitude comparison","CLAUSE DELETED","claim_verb_registry.csv; the PCA is acquisition-level while the later contrasts are animal-level within spatial unit."
"RT-04","Q1 verb licensing / Q3 data vs interpretation","Coordinated differences ... are nevertheless present","REAL DEFECT - 'nevertheless' is the adversative PH-002 removed at source","CHANGED TO 'are detectable'","PH-002: 'the adversative carries the ranking that the conjunction does not'. I had reintroduced the construction I removed earlier in this project."
"RT-05","Q9 specificity (inverse error)","Program families differ across spatial contexts and across the three contrasts","REAL DEFECT - a spatial-heterogeneity assertion made without using a banned word","REWRITTEN as a factual count with 'no test of that unevenness was performed'","The only heterogeneity test is the WGCNA omnibus, 0 of 35 FDR-supported."
"RT-06","Q1 verb licensing / Q4 dataset wording","ten prespecified compartment markers showed the expected compartment-restricted abundance patterns","REAL DEFECT - 'restricted' is reserved under contract section 6 and the panel is declared untested","CHANGED TO 'were most abundant in their expected compartment'","Contract section 6; F2e legend declares the panel descriptive."
"RT-07","Q3 data vs interpretation","Within control animals, the proteome carries a reproducible anatomical fingerprint","REAL DEFECT - reproducibility is shown by F2f/ED1a, not by F2d/F2e, and F2d rows are rank-selected from the contrasts displayed","CHANGED TO 'defines a coherent anatomical fingerprint' plus an explicit circularity disclosure","claim_chain_audit: 'Selected from the same anatomical contrasts the panel displays.'"
"RT-08","Q6 null overstated (over-negation)","That apparent concentration does not survive quality-control scrutiny","REAL DEFECT - over-negation; 6 of 28 did qualify and CA2-SLM still contributes 6 of the 15 robustness-qualified proteins","CHANGED TO 'weakens substantially ... from 28 proteins to 6'","CA2_SLM_DAP_robustness tables."
"RT-09","Q2 biological n / Q3 data vs interpretation","Six GSEA FDR values down to 1.5e-08 reported with none of the standing caveats","REAL DEFECT - every enrichment legend in the frozen package attaches the ranking-conditional and eps-floor caveats","ADDED one caveat sentence covering all three exemplars","All three exemplars sit at the eps = 1e-10 floor in at least one displayed cell."
"RT-10","Q4 contrast correctness","all three representative terms reproducing their direction without retaining it","REAL DEFECT - true only for the susceptible-versus-resilient arm","SCOPED to the SUS-RES arm, with the three CAMERA FDRs given","CAMERA classification is per contrast arm, not per term."
"RT-11","Q4 dataset wording / Q6 null scope","no edge-behaviour association survived correction (0 of 48)","REAL DEFECT - reads as a survey of the whole spatial network; it covers 8 neuropil pairs only","SCOPED to 'the eight neuropil spatial-unit pairs tested', with the untested compartments named","Edge-behaviour coupling covers 8 neuropil spatial-unit pairs."
"RT-12","Q4 dataset wording","the spatial assignments recover independently published hippocampal anatomy","REAL DEFECT - reads as all three compartments; zero microglia contrasts enter F2g/ED2b","SCOPED to 'the neuropil and neuronal-soma spatial assignments', with the microglia gap stated","v9_ed_external_full_source_data.csv: 5 neuropil + 4 soma contrasts, 0 microglia."
"RT-13","numbers","the three analysis matrices comprised 5,054, 5,538 and 5,229 protein groups (union 5,694)","REAL DEFECT - the union figure could not be re-derived; the joint-QC audit gives 5,621","UNION COUNT REMOVED; 'quantified' changed to 'detected'","No source file yields 5,694."
"RT-14","numbers / Q4 dataset wording","across 15 prespecified contrasts","REAL DEFECT - only 11 of the 15 are manuscript-locked; the 4 microglia contrasts are regional context, and DG_MO/DG_PO are algebraic mirror images","REWRITTEN; the locked/context split is now in provenance S2-13 and Methods TODO MT-13","manuscript_locked column: TRUE = 11, FALSE = 4. DG rows identical to 7 dp."
"RT-15","Q1 verb licensing / Q2 biological n","Together these results establish that the workflow resolves reproducible hippocampal molecular organisation","REAL DEFECT - 'establish' exceeds the registry; 'reproducible' unqualified means between hemispheres of the SAME animal","REWRITTEN as 'show ... reproducible between the two hemispheres of the same animal - internal consistency rather than independent replication'","Bilateral design is 3 CON animals, both hemispheres."
"RT-16","Q7 sensitivity as validation","CAMERA description throughout","CLEAN - no change needed","NONE","Reviewer confirmed CAMERA is never called validation, replication or confirmation, and the disclaimer sits in the same sentence."
"RT-17","Q8 leading-edge significance","Fig. 3g-i description","CLEAN - no change needed","NONE","0 of 63 displayed values individually FDR-supported; smallest BH 0.53 stated in the same sentence."
"RT-18","Q5 cell-context wording","All microglia and soma mentions","CLEAN - no change needed","NONE","Reviewer grep: every mention is 'microglia-enriched ROI' or 'microglia-enriched compartment'; no 'microglial proteome', 'microglia-specific', 'cell-intrinsic' or 'cell-autonomous' anywhere; soma never given laminar resolution."
