"review_id","question","verdict","evidence","phase2b_verdict","resolved_by"
"F1RT-01","Is this expected because of how RES and SUS were defined?","YES FOR THE CLASSIFICATION COMPONENTS, NO FOR THE EARLY-BEHAVIOUR RESULT","The six outcome components define CombZ and CombZ defines the classification, so group differences in those six are guaranteed by construction; the manuscript states this and never presents them as independent confirmation. The early-behaviour association and the prediction use a predictor that is not part of the classification, so they are not circular.","UNANSWERABLE - the classification rule is not in this repository","frozen bridge F1-02; FM-03; FM-05"
"F1RT-02","Is this independent evidence?","YES FOR THE EARLY-BEHAVIOUR ASSOCIATION","Mean movement over the P25 window is not a component of CombZ and is recorded before every component exists, so the association is not entailed by the construction of the outcome. The component-level group differences remain by-construction and are labelled as such.","UNANSWERABLE - requires the outcome-score construction","frozen bridge F1-02; F1-03; F1-09"
"F1RT-03","Does 'predict' mean held-out prediction?","YES","Leave-one-animal-out cross-validation with complete refit per held-out animal, a repeated grouped five-fold companion (k=5, 100 repeats, animal as grouping unit, seed 521 for fold assignment), an intercept-only baseline, and a permutation test that repeats the entire fitting and cross-validation procedure. PREDICTS_ALLOWED = YES for the continuous CombZ target only, never for binary susceptibility.","NO - AND NO PREDICTION EXISTS in this repository","frozen bridge F1-06; FM-07; FM-08"
"F1RT-04","Was the predictor collected before the outcome?","YES","The early window is the first active-phase block after the first cage change at P25, 18:30-06:30. Every outcome component, CombZ itself and the RES/SUS labels derive from measurements taken after that window closed. The timeline contract records the ordering event by event.","UNVERIFIABLE - no ages, dates or cage-change timestamps in any tracked file","frozen bridge F1-09; figure1_timeline_contract.csv"
"F1RT-05","Is the cross-validation unit the animal?","YES","Leave-one-animal-out is by definition animal-level: 110 train, 1 test, refit completely each time. The companion five-fold scheme uses the animal as the explicit grouping unit, so no animal is split across folds.","NOT APPLICABLE - no cross-validation exists","frozen bridge FM-07"
"F1RT-06","Is sex-specific wording licensed?","NO","Formal feature-by-sex interaction tests are unsupported for all three features (all q = 0.90) and the stratified estimates for mean movement are near-identical (-0.41 female, -0.42 male). The historical female-specific reading is a difference of significance, not evidence of a sex difference, and is prohibited.","NO - sex is carried as a column but no stratified or interaction model is fitted here","frozen bridge F1-08; FM-10; upstream BH-001"
"F1RT-07","Could cage or batch explain the result?","CANNOT BE ASSESSED, AND IS DISCLOSED AS SUCH","Cage identity is absent from the prediction design, so cage-level dependence was neither modelled nor is assessable retrospectively from this analysis. This bounds generalisation; it is not a route by which outcome information could reach the predictor, because the predictor precedes the outcome. No cage random effect was invented after the fact. No batch term enters CombZ.","UNANSWERABLE - batch is present in both external inputs; no model here adjusts for it","frozen bridge F1-10; FM-12; upstream BH-002"
"F1RT-08","Is the stated n biological animals?","YES","111 animals: 58 female and 53 male; 24 control, 49 resilient and 38 susceptible. The unit is the animal throughout, in both the association and the prediction.","NOT APPLICABLE - no Figure 1 claim is made, so no n is asserted","frozen bridge FM-11"
"F1RT-09","Is the prediction target the binary phenotype or the continuous score?","CONTINUOUS SCORE ONLY","The model predicts continuous CombZ. No classifier was fitted and no AUC or accuracy exists. Wording such as predicts susceptibility or predicts resilience is therefore prohibited even though predicts later CombZ is licensed.","NOT ASKED IN PHASE 2B","frozen bridge F1-06; prediction_interpretation_constraints.csv"
"F1RT-10","Is the validation internal or external?","INTERNAL","Animals were withheld within a single cohort. There is no independent cohort and no replication. External validation, independent replication and externally validated are prohibited.","NOT ASKED IN PHASE 2B","frozen bridge F1-10"
