"required_item","status","location_in_repo","evidence","consequence_for_manuscript"
"Figure 1 panel contract","ABSENT","figures/figure_final_truth_v9_contract.yml","The frozen contract defines F2_NATURE_FINAL_V9 and F3_NATURE_FINAL_V9 only. No F1 figure key, no F1 panels, no F1 renderers.","There is no frozen Figure 1 to write Results against."
"Figure 1 output directory","EMPTY","results/manuscript/figure_1/","Contains only .gitkeep; no source data, no SVG, no PDF.","No released Figure 1 artefact exists."
"Behavioural / physiological raw data","PRESENT (external input)","data/external/behavior/E9_Behavior_Data.xlsx","34 sheets; the zScore sheet carries 117 animals with NOR, sucrose_pref, weight_dev, delta_cort, adrenal_weight, spleen_weight and a precomputed CombZ column.","The data exist but arrive as a finished product."
"Home-cage / RFID movement AUC","PRESENT (external input)","data/external/behavior/auc_individual_animals_firstChangeActive.csv (and _all.csv)","322 animals; columns AnimalNum, Batch, Group, metric, Change, Sex, Phase, window, AUC, AUC_norm, AUC_per_hour, prediction_type = subject_specific_gamm_observed_grid.","The GAMM-derived AUC is an INPUT here; the GAMM itself was fitted elsewhere."
"CombZ / outcome-score construction","NOT IN REPOSITORY","read at 01_preprocessing/06_merged_metadata_module_score.r:399-427","The script READS sheet 'zScore' and renames comb_z -> CombZ. It performs no z-scoring, no sign orientation, no aggregation, no sex or batch handling. The formula is not present in any tracked file.","Sign orientation, z-scoring population, aggregation formula and the treatment of sex and batch CANNOT be stated from this repository."
"RES / SUS classification rule","NOT IN REPOSITORY","01_preprocessing/06_merged_metadata_module_score.r StressGroup = case_when(!is.na(group_auc_all) ~ group_auc_all, ...)","The group label is taken from the Group column already present in the external AUC csv. No threshold, no cut-point and no classifier is computed here.","The RES/SUS boundary definition cannot be stated from this repository."
"GAMM model specification","NOT IN REPOSITORY","implied by prediction_type = subject_specific_gamm_observed_grid","No mgcv/gamm4 call exists in any tracked script. Only the fitted per-animal AUC survives.","The GAMM formula, smoothers, random-effect structure and grid cannot be stated."
"Out-of-sample prediction / cross-validation","ABSENT","repository-wide search","No glmnet, caret, pROC, randomForest, cv.glmnet, trainControl or createFolds anywhere. Every 'leave-one-animal-out' hit is a PROTEOMIC stability analysis (CA2-SLM robustness, WGCNA readiness, GSEA-WGCNA concordance).","The word 'predicts' cannot be licensed. No AUC, no CV fold structure, no permutation null exists to report."
"HMM / behavioural state architecture","ABSENT","repository-wide search","No state model, no state definitions, no state-fraction outputs.","Cannot be described."
"Experimental timeline (ages, windows)","NOT RECOVERABLE","data/external/behavior/*","The AUC csv carries Phase (Active) and window (all) and a halfhour grid 0-23, but no age, no date and no cage-change timestamp. The workbook sheets were not searched exhaustively, but no tracked script states ages.","P22/P25/P36/P56-style ages cannot be verified and must not be asserted."
"Sex-stratified / interaction statistics","NOT IN REPOSITORY","repository-wide search","Sex is carried as a column in both external inputs. No sex-stratified model, no sex x predictor interaction test is fitted in any tracked script.","No sex claim of any strength can be made."
"Proteomics-behaviour coupling (the part that IS here)","PRESENT","08_behavior_physio_coupling/01-04","Correlates the proteome with behavioural summaries. Its outputs already appear in the drafted Results 3 as the edge-behaviour null (0 of 48 tests, 8 neuropil pairs).","Already reported, correctly scoped, in Results 3."
