"consumer_file","disposition","rationale"
"analysis/spatial_networks/build_spatial_networks.R","INTENTIONALLY_REMOVED","Not a consumer. It appeared only because it named the historical namespace twice: in MODULE_ID, and in a second compatibility write of its own object to the legacy unscoped path. Both are gone; the historical object on disk is untouched."
"analysis/spatial_networks/render_network_chord_diagram.R","INTENTIONALLY_REMOVED","Also not a consumer: it named the historical namespace only in its own MODULE_ID, which became ANALYSIS_ID."
"R/networks/spatial_network_utils.R","NEW_RESOLVED","The compatibility layer itself. It names both namespaces deliberately: it is what prefers the normalized path and falls back to the historical one. Five byte-identical copies of that resolution collapsed into it."
"tests/testthat/test-spatial-networks-writer-namespace.R","NEW_RESOLVED","The migration's own regression test."
"analysis/integration/test_network_behaviour_coupling.R","REPOINTED","Still a consumer, and still reads the same object. It now goes through resolve_spatial_network_object(), so it contains no namespace token of its own and a token search cannot see it. The dependency is visible at R/networks/spatial_network_utils.R instead, and the resolver-caller load test is what keeps it honest."
"analysis/spatial_networks/render_differential_network_figures.R","REPOINTED","Same indirection: its literal bootstrap directory and its phantom 01_Tables segment were replaced by resolve_bootstrap_differential_tables(). Before the migration this script could not run at all."
"analysis/integration/audit_animal_id_integrity.R","RETAINED","Present in both inventories."
"analysis/publication_source_data/08_export_manuscript_figures.R","RETAINED","Present in both inventories."
"analysis/spatial_networks/build_differential_networks.R","RETAINED","Present in both inventories."
"analysis/spatial_networks/test_differential_network_stability.R","RETAINED","Present in both inventories."
"analysis/spatial_networks/test_network_stability.R","RETAINED","Present in both inventories."
"analysis/spatial_validation/validate_network_workbook.R","RETAINED","Present in both inventories."
"analysis/wgcna/build_module_spatial_networks.R","RETAINED","Present in both inventories."
"pipeline.yml","RETAINED","Present in both inventories."
"tests/testthat/test-dataset-cli-contracts.R","RETAINED","Present in both inventories."
"tests/testthat/test-export-target-path-budget.R","RETAINED","Present in both inventories."
"tests/testthat/test-spatial-network-dataset-argument.R","RETAINED","Present in both inventories."
"tests/testthat/test-spatial-network-dataset-awareness.R","RETAINED","Present in both inventories."
"tests/testthat/test-spatial-sample-key-parsing.R","RETAINED","Present in both inventories."
"tools/verify_path_contract_rewrites.R","RETAINED","Present in both inventories."
