"methods_id","topic","value","authoritative_source"
"FM-01","early window","first Active phase block after CC1 at P25; 18:30 inclusive to 06:30 exclusive; 12 h; 10-min bins; 72 slots","early_window_contract_summary.csv"
"FM-02","early features","Movement_mean, Movement_rmssd, Entropy_acf1; raw window summaries, not GAMM-derived; no scaling or transformation","Analysis/09_early_prediction_model_ladder.R"
"FM-03","outcome","CombZ = unweighted mean of six z-scored components; higher = more resilient-like","docs/COMBZ_CANONICAL_DEFINITION.md"
"FM-04","z-score reference","within-sex control animals; population SD; no batch term","docs/COMBZ_CANONICAL_DEFINITION.md section 4"
"FM-05","classification","SUS = SIS and CombZ < within-sex control mean minus within-sex control population SD; thresholds -0.437 male, -0.222 female","docs/COMBZ_CANONICAL_DEFINITION.md section 5"
"FM-06","association model","Spearman with 5000-sample bootstrap CI; BH over three prespecified features","Analysis/09_early_prediction_model_ladder.R"
"FM-07","prediction design","fixed a priori model registry; leave-one-animal-out primary; repeated grouped 5-fold (k=5, 100 repeats, group=AnimalNum, seed 123) companion","Analysis/09_early_prediction_model_ladder.R"
"FM-08","permutation","full-refit outcome permutation, 1000 draws, seed 20260811; p = 1/1001","Analysis/09_early_prediction_model_ladder.R"
"FM-09","leakage control","no scaling, centring or feature selection anywhere; outcome-derived group label excluded from every canonical model","prediction_interpretation_constraints.csv"
"FM-10","sex","formal feature-by-sex interaction, BH over three tests","primary_feature_sex_interactions.csv"
"FM-11","n","111 animals (58 female, 53 male; CON 24, RES 49, SUS 38)","early_window_design_by_animal.csv"
"FM-12","unresolved","component z-scores cannot be re-derived under one uniform rule (positional per-sex workbook blocks); cage identity absent from the Stage 09 design","docs/COMBZ_CANONICAL_DEFINITION.md section 4a"
