"id","severity","panel","finding","fix_class","blocks_promotion","evidence","verified_by"
"PB-01","RESOLVED","F3 a + b (v9_dap_track / v9_atlas)","RESOLVED IN PHASE 5B. Root cause was inter-panel layout geometry, not data: both panels compute xpos from the same sg_blocks() order, but the atlas let a right-hand ggplot legend take 18.07 mm of layout width while the DAP track reserved the shared NF_RGT constant of 7.60 mm, so the pitches were 17.540 and 18.720 pt. The atlas now declares the coupling in the contract (shares_column_geometry_with) and its colour bar moves below the axis, pinning the right gutter to NF_RGT. Both panels now have left inset 137.60 pt, right inset 21.54 pt and pitch 18.720 pt.","RENDERER_CODE_FIX_THEN_RERENDER","NO","Root cause: NF_RGT <- 7.6 is defined at R/nature_final_v7_figure3_panels.R:48 with the comment mm reserved at the right for the atlas legend, in a AND b. It is applied at nature_final_v7_figure3_panels.R:88, editorial_v8_panels.R:303 and final_truth_v9_panels.R:303 - all three DAP tracks - and in no atlas renderer. f9_gsea_atlas instead sets legend.position=right with no matching plot.margin, so ggplot allocates the legend whatever width it needs. The a AND b contract was implemented on the a side only, in three successive generations.","manuscript/figure_pb01_registration_audit.csv: 18 of 18 columns MISREGISTERED before, 0 of 18 after, maximum offset 0.00 pt. The 28 now sits on CA2 SLM."
"PB-02","RESOLVED","F2 b + c (v9_depth / v9_pca)","RESOLVED IN PHASE 5B. v9_depth now reads data/raw/pg_matrix/quicksearch.stats.annotated.xlsx and v9_pca reads results/tables/03_qc_exploration/00b_joint_compartment_qc/global/joint_primary_pca_scores.csv. The v9 contract contains zero references to the v2 export namespace.","SOURCE_REROUTE","NO","R/manuscript_figure_utils.R:549 constructs those paths inside manuscript_figure_main; the files exist only because figure_02.R has been run. Reroute v9 b to data/raw/pg_matrix/quicksearch.stats.annotated.xlsx and v9 c to results/tables/03_qc_exploration/00b_joint_compartment_qc/global/joint_primary_pca_scores.csv, both of which are canonical stage outputs.","Plotted values identical before and after: depth 323x5 all.equal TRUE, pca 323x4 all.equal TRUE."
"PB-03","RESOLVED","F3 b, and d/e/f which share the same legend block","RESOLVED IN PHASE 5B. The eps-floor disclosure is derived rather than hard-coded. f9_eps_floor_disclosure() reads the canonical enrichment table, asserts that the smallest positive raw p equals the declared floor, and counts displayed FDR-supported occurrences and how many sit at it.","LEGEND_CODE_FIX","NO","figures/final_truth_v9_legends.R:54 read directly. The audit agent recomputed 94 of 953 from the current source table; the precise replacement must be recomputed at fix time rather than copied from this row.","Legend now reads 94 of the 953 displayed, recomputed independently; the stale 90 of 851 literal is gone and the guard fails loudly if eps ever changes."
"PB-04","CONCERN","F2 g (v9_external_main)","The renderer marks significance with k$sig <- p_adjust < 0.05. Under MT-04 the column named p_adjust is the uncorrected single-set value, not an adjusted one; the Methods cites signature_FDR. The label is wrong even though the drawing is not.","RENDERER_REFRESH","NO","R/final_truth_v9_panels.R:168. In figure2e_source_data.csv, p_adjust is byte-identical to single_set_p_adjust, and substituting signature_FDR changes 0 of 30 rows - both give 28 passing. So the artwork is unaffected and only the semantics are wrong.","verified directly - all.equal(p_adjust, single_set_p_adjust) TRUE, and sum(disagreements) = 0"
"PB-05","CONCERN","F2 f and F3 g/h/i","The contract declares a primary_source that the renderer never opens. F2 f declares the 23.8 MB bilateral_spatial_identity_protein_level.csv but nf_bilateral_main reads input_dependencies[1], the summary table. F3 g/h/i declare protein_sus_res_fdr_supported_atlas.csv but f9_protein_zoom reads the canonical per-file DA output. Promoting this generation would ship source-data provenance naming tables that contributed nothing.","CONTRACT_METADATA_FIX","NO","figures/figure_final_truth_v9_contract.yml lines 227, 238, 249 for g/h/i. Renderer bodies read to confirm.","confirmed by reading f9_prot_values and nf_bilateral_main"
"PB-06","RESOLVED","supplementary table ST2 and the ED2b legend","RESOLVED IN PHASE 6A.5, and independently verified before acting. ST2 mapped the column named p_adjust onto a column called 'BH-adjusted p' with FDR method Benjamini-Hochberg; p_adjust is byte-identical to single_set_p_adjust, so the table positively relabelled an uncorrected value as adjusted in a manuscript-facing artefact with a matching data dictionary. The ED2b renderer and legend carried the same label. All now use signature_FDR and report the uncorrected value separately under its own name.","SUPPLEMENTARY_FIX","NO","Reported by the adversarial verifier for the F2 g/h unit; the specific file and line were not independently re-read here.","verified directly: 30 rows, 28 significant by either statistic, 0 disagreements, so no mark changed"
"PB-07","NOTE","F3 a standalone","Panel a suppresses its own axis text, so as a standalone SVG its 18 numbers carry no spatial identity. It is published for inspection in the panels README and cannot be checked by a reader in that form. This is by design but it is what makes PB-01 invisible to a per-panel review.","RENDERER_REFRESH","NO","R/final_truth_v9_panels.R:302 sets axis.text = element_blank().","confirmed by reading the renderer"
"PB-08","NOTE","source table protein_spatial_cell_affinity.csv","The column spatial_specificity_class takes the value CA2_SLM_selective for 24 of the 37 FDR-supported proteins, with no formal spatial interaction test behind the name. Nothing reads it today, but it is one join away from a prohibited-wording violation.","SOURCE_METADATA_RENAME","NO","table(spatial_specificity_class) over the 37 hits: CA2_SLM_selective 24, CA2_SLM_strongest_but_broader 3, broad_same_direction 1, blank 9. grep across R/, figures/ and manuscript/ returns no consumer.","verified directly"
"PB-09","NOTE","F2 b, and the manuscript","326 acquisitions exist in the raw workbook; 3 carry exclude = TRUE with no recorded reason. Both generations plot all 326, while the manuscript states 323 and quotes the 323-row medians. Two of the three excluded runs are the study only CA3 stratum lacunosum-moleculare acquisitions, which is why no CA3-SLM unit exists.","DISCLOSURE","NO","Reported by the F2 a/b/c auditor from the workbook. The 323 vs 326 arithmetic was confirmed by that agent both ways; the exclude column was not independently re-read here.","PARTIALLY verified - the 323 figure matches the manuscript; the 326 and the exclusion reason are agent-reported"
"PB-10","INFORMATIONAL","results/reports/manuscript_candidates/final_truth_v9/manuscript_semantic_rules.md","This governing rules document is itself stale on the mitochondrial theme. Its OXPHOS rule says AVOID OXPHOS as the name of the 20-term atlas theme and states the theme also contains glycolytic terms. Both are false for the current atlas: the theme has 16 terms and zero glycolytic members.","DOC_FIX","NO","Verified directly against the source table: registry manuscript_go_themes_v3, mitochondrial_respiration_oxphos has exactly 16 GO terms, GO:0006096 absent, GO:0006086 and GO:0006099 retained. docs/ATLAS_PROGRAM_SELECTION_AND_NAMING_RULES.md states the exclusion rule correctly.","verified directly"
"PB-11","RESIDUAL","promoted Figure 2 and Figure 3, output namespace","The promoted generation still writes to results/**/manuscript_candidates/final_truth_v9/. The directory name now contradicts the status: these are canonical manuscript figures living under a path called candidates. Nothing reads the wrong thing - the canonical layer reads only that generation - but the name is misleading to a reader. Not repaired here because it is a physical directory migration, which this repository defers by convention and which would touch s9f_output_paths, the freeze manifest, the shipped READMEs and every test that names those paths.","NAMESPACE_MIGRATION","NO","tests/testthat/test-candidate-figure-layer.R now permits manuscript_candidates/final_truth_v9 in read paths and nothing else, so a regression to another generation still fails.","Phase 5B, verified directly"
"PB-12","RESIDUAL","Figure 2 panel d (v9_fingerprint)","The fingerprint panel's upstream input is results/tables/manuscript_candidates/spatial_v6/figure2_spatial_fingerprint_proteins.csv, produced by a superseded generation's selection script. The Phase 5 adversarial audit established that this is the only generation of that analysis that has ever existed, that four consecutive contracts deliberately inherited the identical source, and that every upstream input predates the table - so the content is current, not stale. The manuscript layer does not read it: it reads the v9 panel SVG and the v9 sidecar, and declares this table as input_dependencies for traceability.","OPTIONAL_REHOMING","NO","figures/figure_contract.yml line 250 is the sole occurrence, inside input_dependencies; figure_source and primary_source for 2d both resolve to final_truth_v9.","Phase 5B, verified directly"
