"conflict_id","topic","conflicting_statements","authority_applied","resolution_in_manuscript","severity","action_for_upstream","status"
"FC-01","Identity of the early behavioural predictor","pRoteomics methods_statement_provenance.csv row M-18 recorded the predictor as a GAMM-derived per-animal AUC (prediction_type = subject_specific_gamm_observed_grid) read from auc_individual_animals_firstChangeActive.csv. The frozen bundle figure1_methods_contract.csv row FM-02 states the canonical Figure 1 features are raw window summaries and explicitly NOT GAMM-derived.","FROZEN BUNDLE - as instructed, the bundle is authoritative over the older pRoteomics statement","Methods now report Movement_mean, a raw mean of the binned movement signal over the early window. M-18 is retained and marked SUPERSEDED_AND_CORRECTED with the conflict recorded. The upstream GAMM exists but is not part of the canonical Figure 1 story and is not cited.","MATERIAL","none - working as intended","RECORDED"
"FC-02","Seed for the repeated grouped five-fold cross-validation","Frozen bundle figure1_methods_contract.csv row FM-07 states seed 123. The upstream analysis code Analysis/09_early_prediction_model_ladder.R lines 1727-1732 passes seed = 521 to make_grouped_folds() for the primary fold map, and that fold map is the one feeding the reported interval. 123 is the function-signature DEFAULT, overridden at every call site, and is also the script-level set.seed and the bootstrap-CI seed - it does not govern the repeated-CV interval.","UPSTREAM SOURCE CODE - the frozen bundle contradicts its own analysis here, so the bundle field is a transcription defect rather than a competing result","Methods state seed 521 for fold assignment, and seed 123 separately for the association bootstrap where it is correct. No result changes: the seed affects only reproducibility of the fold split, not any reported value.","MATERIAL FOR REPRODUCIBILITY, NONE FOR RESULTS","DONE. Functions/figure1_prediction_contract.R is now the single source of truth; the call site reads repeated_cv_seed from it and both builders render the sentence with figure1_repeated_cv_description(). FM-07 reads seed 521. Guarded by Testing/tests/test_figure1_prediction_contract.R.","RESOLVED UPSTREAM at MMMSociability a1042e2 / re-frozen at 5460cd4"
"FC-03","Figure 1 claim-ID namespace","The Phase 2C instruction proposed F1-01 = early RFID timing, F1-02 = CombZ construction, F1-03 = RES/SUS threshold rule, F1-04 = Movement association. The frozen bundle already defines F1-01 = outcome heterogeneity, F1-02 = by-construction group differences, F1-03 = Movement association, F1-04 = RMSSD.","FROZEN BUNDLE - reusing an existing namespace with different meanings would corrupt provenance","The bundle's F1-01 to F1-10 are used verbatim as the upstream reference. A separate pRoteomics-side namespace C1-1 to C1-13 carries the manuscript claims, each row naming the bundle row it resolves to.","MATERIAL","none - the instruction's IDs were offered as an example","RECORDED"
"FC-04","Hash algorithm label in the bundle manifest","figure1_source_data_manifest.csv names its hash column sha256 but its hash_algo column says md5, and the values are 32-hex-character MD5 digests that reproduce under md5sum.","hash_algo field and the digests themselves","The pRoteomics import manifest labels source-data hashes md5 and does not copy the misleading column name. SHA-256 values recorded here for the five contract files are genuine SHA-256 computed at import.","MINOR","FIX UPSTREAM: rename the column to md5 or switch to real SHA-256.","OPEN - cosmetic, upstream"
"FC-05","Realised coverage of the 72-slot early window","The bundle and the instruction both state 72 slots without qualification. early_window_contract_summary.csv records all_target_slots_observed = FALSE, n_animals_complete_72_bins = 50, n_animals_missing_leading_only = 61, mean coverage 0.9859, minimum 0.9444, with zero interior and zero trailing missing slots.","SOURCE TABLE - the bundle states the design, the table states the realisation; both are true and neither is wrong","Methods state 72 as the design expectation and then give the realised coverage explicitly. Results state the design window only.","MINOR","consider adding a realised-coverage row to the methods contract","RECORDED"
"FC-06","Naming of the primary prediction model","The instruction calls it the movement-only model. Upstream model_specification_dictionary.csv already uses the exact string Movement only for a DIFFERENT model whose predictors are Sex + Group + Movement_mean, with UsesGroup = TRUE and an explicit warning not to headline it as behaviour-only evidence.","UPSTREAM MODEL REGISTRY","The manuscript never writes movement-only. It uses the movement-mean model and names the registry identifier movement_mean, whose predictors are exactly Movement_mean.","MATERIAL - a reader or reviewer matching names against the upstream registry would otherwise land on a group-adjusted model","DONE. The machine key 'Movement only' is retained as a stable join identifier, but its display label is now 'Movement + sex + group', and the three other adjusted ladder models are likewise disclosed. A positive disclosure guard refuses any label that hides a Group or Sex term, and a second guard bars a Group-using model from being exported as headline evidence.","RESOLVED UPSTREAM at MMMSociability a1042e2"
"FC-07","Scope of the no preprocessing claim","The instruction states no scaling/centering is applied, so no preprocessing leakage exists. True for the five canonical models, but loo_lm_predict and kfold_lm_predict both call impute_numeric_from_training(), which fills missing numeric predictors with the training-fold median inside each split. Separately, safe_scale() does create Movement_z and EntropyACF1_z, but these are predictors in no canonical model.","UPSTREAM SOURCE CODE","Methods state that no feature selection, centring or scaling was applied to the canonical models, and that missing predictor values were imputed with the training-fold median inside each split so that no information crosses a cross-validation boundary. The leakage conclusion is unchanged; the absolute wording is not used.","MINOR - the conclusion holds, the absolute phrasing did not","none","RECORDED"
"FC-08","Evidence that cage identity is absent","The instruction cites cage_col <- NULL. In the upstream helper, NULL means AUTO-DETECT, and the resolver lands on CageChange, the cage-change index, not housing-cage identity. The correct evidence is the design matrix: model_ladder_input.csv contains no cage or CageChange column at all, because features are pivoted with id_cols = AnimalNum, Group, Sex.","UPSTREAM SOURCE CODE AND DESIGN MATRIX","Methods state that cage identity is not represented in the analysis design, matching bundle rows F1-10 and FM-12, and do not cite the NULL assignment as the evidence.","MINOR - same conclusion, sounder evidence","none","RECORDED"
"FC-09","Nature of the repeated-CV interval","The instruction writes interval = [0.116, 0.179]. The source column interval_type reads 2.5-97.5% quantiles across repeated CV splits, and the generating script explicitly warns that its legacy ci aliases are not confidence intervals.","SOURCE TABLE","Results and Methods both describe it as the 2.5th-97.5th percentile range across the 100 repeat-level values and state that it is not a confidence interval.","MATERIAL IF MISLABELLED","none","RECORDED"
"FC-10","Worktree state at bundle export","figure1_repo_provenance.csv records worktree_state = dirty at export time, at source_commit 4b0f90f, whereas the bundle was committed as 53bc7e9.","RECORDED AS A CAVEAT, NOT RESOLVED","figure1_bridge_provenance.csv carries the verbatim value and the mitigating evidence: the five contract files are byte-identical from 53bc7e9 through a53d73f and in the worktree, and all eight source-data files still hash-match the manifest today.","MINOR GIVEN THE MITIGATION","DONE. The export builder now assesses worktree state excluding its own output directory, and the re-freeze was run from a clean tree, so the bundle records worktree_state = clean and names the commit that contains the code it describes.","RESOLVED UPSTREAM at MMMSociability a1042e2"
"FC-11","Precision of the RES/SUS thresholds","The frozen bundle figure1_methods_contract.csv row FM-05 states the thresholds rounded to three decimals: -0.437 male, -0.222 female. The Phase 2C instruction and the upstream verification record (test_combz_canonical_definition.R, cited in the source repository's own reconstruction progress note) give full precision: -0.436641698 male, -0.222390844 female.","BOTH - they agree; the bundle is simply rounded","Methods quote the full-precision values, which the instruction explicitly licenses for reproducibility. The guard test asserts the full-precision form is present AND that it rounds to the value the bundle actually states, so a typo in the long form is still caught.","MINOR - no disagreement, only precision","consider carrying full precision in FM-05 so the bundle alone is sufficient for exact reproduction","RECORDED"
"FC-12","Authority for the P25 anchor","The mapping first cage change to P25 is asserted by bundle rows FM-01 and by the bridge timeline contract. None of the eight hashed source tables contains P25: early_window_contract_summary.csv defines the window purely relationally as the first Active block after the first cage change. The bridge timeline contract's own authoritative_source column reads Analysis/09_early_prediction_model_ladder.R header, i.e. a code comment.","FROZEN BUNDLE - the claim is traceable and is not contradicted anywhere","Methods state P25, as the bundle licenses. The provenance record notes that the ultimate authority is a script header comment rather than a data table, so the claim is not overstated as table-derived.","MINOR","consider recording the animal ages in a data table so P25 is table-derived","RECORDED"
