"claim_id","claim_brief","manuscript_cites","support_v2","support_v9","classification","justification"
"C2-1","323 acquisitions at stated identification depth","Fig. 2a,b","v2 2b plots per-acquisition depth","v9 b plots the same depth evidence","SUPPORTED_BY_BOTH","Same underlying quicksearch workbook. Note both plot 326 acquisitions; the manuscript states 323 and its medians are the 323-row medians."
"C2-2","Compartment not stress group dominates global structure","Fig. 2c","v2 2c joint PCA","v9 c same joint PCA","SUPPORTED_BY_BOTH","Identical joint_primary_pca_scores.csv, 323 samples, PC1 45.1% PC2 9.8%."
"C2-3","Control animals show a coherent anatomical fingerprint","Fig. 2d,e","v2 2d shows compartment markers only","v9 d fingerprint PLUS v9 e compartment markers","SUPPORTED_BY_V9","The fingerprint half of the claim has no v2 panel at all. v2 2d corresponds to v9 e, not to v9 d."
"C2-4","Bilateral concordance varies more by compartment than by anatomical scale","Fig. 2f, ED1a,b","NONE","v9 f bilateral, all 15 contrasts drawn uncropped","SUPPORTED_BY_V9","v2 Figure 2 contains no left-right concordance panel. Statements S2-13..S2-17b lose their display entirely under v2."
"C2-5","Neuropil and soma assignments recover published hippocampal anatomy","Fig. 2g, ED2b","v2 2e Kaulich","v9 g Kaulich","SUPPORTED_BY_BOTH","Identical figure2e_source_data.csv. 10/10 expected pairings, NES 1.95-3.69."
"C2-6","Internal GO annotation is functional characterisation, not validation","Fig. 2h","v2 2f","v9 h","SUPPORTED_BY_BOTH","Identical figure2f source table. v9 contract narrative states the NOT-validation rule explicitly."
"C3-1","Individual-protein differences are sparse: 37 supported, 12 of 18 units none","Fig. 3a","v2 3a shows per-unit counts","v9 a row 1 shows the same 37","SUPPORTED_BY_BOTH","Both display the canonical count. Only v9 displays it beside the qualification."
"C3-2","CA2-SLM concentration weakens under QC, 28 to 6, 15 qualified overall","Fig. 3a, ED3","NONE - v2 3a has no QC or robustness column at all","v9 a row 2 draws 15 and the 28 to 6 fall","SUPPORTED_BY_V9","panel_a_sus_res_dap_counts.csv has 20 columns, none of them QC, robustness, imputation or claimability. v2 3a renders CA2-SLM as a 25-unit bar against a max of 2 elsewhere."
"C3-3","Coordinated program differences: seven-family atlas, 132 of 378 cells FDR-supported","Fig. 3b, ED6","NO - v2 3b is a WGCNA supermodule atlas with ZERO FDR-supported cells","v9 b is the seven-program GSEA atlas","SUPPORTED_BY_V9","Both sources have 378 rows - a coincidence. v2 3b tier_specific_fdr minimum is 0.2493 and 0 cells are below 0.05; the manuscript claims 132 supported cells."
"C3-4","Two exemplars susceptibility-associated, one graded and stress-associated","Fig. 3c-f","NONE - v2 has no GSEA exemplar curves","v9 d/e/f render the three exact exemplars","SUPPORTED_BY_V9","GO:0099536 CA3_sr, GO:0006397 CA2_sp, GO:0006119 CA1 microglia all resolve in the canonical theme table with all three contrasts present."
"C3-5","Sensitivity, module and network layers bound the program-level reading","ED6, ED_WGCNA, ED8","partial - v2 3b/3c/3d/3e carry WGCNA content","v9 ED set","SUPPORTED_BY_BOTH","Extended Data level; both generations carry WGCNA evidence, in different places."
"C3-6","Neither evidence level is claimed to be the stronger","Fig. 3a,b","yes","yes","SUPPORTED_BY_BOTH","A wording constraint rather than a display."
"DISPLAY-1","Leading-edge proteins carry the three programs","Fig. 3g-i","NONE","v9 g/h/i","SUPPORTED_BY_V9","63 values, no error bars, panel states no protein is individually FDR-supported."
