"old_path","file_role","scientific_owner","active_status","tracked","baseline_manifest_member","destination_repo","proposed_new_path","rationale"
".gitattributes","TOOLING","proteomics","ACTIVE_SUPPORT",TRUE,FALSE,"pRoteomics",".gitattributes","environment / version-control configuration"
".github/workflows/dry-run.yml","TOOLING","proteomics","ACTIVE_SUPPORT",TRUE,FALSE,"pRoteomics",".github/workflows/dry-run.yml","continuous integration workflow"
".github/workflows/r-smoke-tests.yml","TOOLING","proteomics","ACTIVE_SUPPORT",TRUE,FALSE,"pRoteomics",".github/workflows/r-smoke-tests.yml","continuous integration workflow"
".gitignore","TOOLING","proteomics","ACTIVE_SUPPORT",TRUE,FALSE,"pRoteomics",".gitignore","environment / version-control configuration"
"00_setup/derive_allen_mouse_ctx_hip_10x_markers.r","TOOLING","proteomics","ACTIVE_SUPPORT",TRUE,FALSE,"pRoteomics","tools/reference_data/derive_allen_mouse_ctx_hip_10x_markers.r","derives reference marker panels into data/external/reference_markers/derived; produces reference data, not analysis results, so it is tooling rather than a pipeline stage"
"01_preprocessing/01_impute.r","LEGACY_SUPERSEDED","proteomics","SUPERSEDED_PROVENANCE",TRUE,FALSE,"pRoteomics","archive/01_preprocessing/01_impute.r","pipeline.yml legacy section: older preprocessing branch not used by the canonical registry"
"01_preprocessing/01_prepare_joint_protigy_input.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/01_preprocessing/01_prepare_joint_protigy_input.r","runnable analysis entrypoint; stage identity analysis/01_preprocessing"
"01_preprocessing/02_excel_convert.r","LEGACY_SUPERSEDED","proteomics","SUPERSEDED_PROVENANCE",TRUE,FALSE,"pRoteomics","archive/01_preprocessing/02_excel_convert.r","pipeline.yml legacy section: older preprocessing branch not used by the canonical registry"
"01_preprocessing/02a_prepare_animal_level_protigy_input.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/01_preprocessing/02a_prepare_animal_level_protigy_input.r","runnable analysis entrypoint; stage identity analysis/01_preprocessing"
"01_preprocessing/03_gct_extractR.r","ANALYSIS_ENTRYPOINT","proteomics","ACTIVE_CANONICAL",TRUE,FALSE,"pRoteomics","analysis/01_preprocessing/03_gct_extractR.r","runnable analysis entrypoint; stage identity analysis/01_preprocessing"
"01_preprocessing/03b_directionality_audit_raw_vs_protigy.r","AUDIT","proteomics","ACTIVE_SUPPORT",TRUE,FALSE,"pRoteomics","audits/preprocessing/03b_directionality_audit_raw_vs_protigy.r","pipeline.yml legacy section: diagnostic-only audit with no canonical downstream consumer"
