"review_id","reproducibility_defect","what_was_checked","verdict","evidence"
"MRT-01","wrong biological n","every n stated in Methods","CLEAN","n = 3 per group, 9 animals, stated once at the head and never contradicted; acquisitions and hemispheres explicitly excluded as replicates"
"MRT-02","wrong analysis unit","DA, GSEA, WGCNA, network units","CLEAN","DA and GSEA on animal-level values within spatial unit; WGCNA on module eigengenes with a per-animal random intercept; network on animal x dataset instances, named as such"
"MRT-03","omitted repeated-measures structure","WGCNA model and the bilateral design","CLEAN","(1|AnimalID) stated; bilateral aggregation stated before any group comparison; the two DG contrasts flagged as algebraic mirror images"
"MRT-04","wrong contrast orientation","primary contrast and the algebraic relation","CLEAN","SUS-RES named primary; SUS-RES = SUS-CON minus RES-CON stated in both Methods and Results"
"MRT-05","wrong BH family","every declared family","DEFECT FOUND AND FIXED","The external-validation section would have cited p_adjust as the correction. Methods now states that p_adjust is a single-set no-op and that signature_FDR, applied within families of 12, 6 and 12, is the operative correction. MT-04."
"MRT-06","software function named incorrectly","gseGO, cameraPR, lmerTest, GSEA","CLEAN","each checked against the calling script; cameraPR is the preranked form, not CAMERA on an expression matrix"
"MRT-07","parameter copied from superseded code","atlas membership","DEFECT AVOIDED","PH-012: two reader-facing artefacts still describe a 20-term mitochondrial theme containing glycolysis. Methods states the verified frozen membership: 16 terms, glycolysis excluded, PDH and TCA retained."
"MRT-08","method described more strongly than implemented","CAMERA, external validation, atlas","CLEAN","CAMERA is sensitivity only; the atlas carries no theme-level FDR; the off-target pairings are explicitly not a specificity test"
"MRT-09","figure post-processing presented as inference","atlas median NES; CA2-SLM qualification","CLEAN","median NES named descriptive; the robustness qualification explicitly not a second FDR family and not an additional test"
"MRT-10","ambiguous denominator","the WGCNA 0 of 45","DEFECT FOUND AND FIXED","Recomputed: 45 = 15 neuropil modules x 3 group contrasts, NEUROPIL ONLY, smallest FDR 0.245. The all-compartment equivalent is 105 tests, smallest FDR 0.156. Both now stated in Methods and in Results 3."
"MRT-11","unrecoverable parameter filled from convention","CombZ construction, RES/SUS cut-point, and the identity of the early behavioural predictor","RESOLVED BY THE FROZEN BRIDGE - NO INVENTED VALUE AT ANY POINT","Phase 2B carried three [METHOD DETAIL UNRESOLVED] markers rather than invented values (rows M-16, M-17, M-18). Phase 2C resolves all three from the imported frozen bundle: CombZ construction from FM-03 and FM-04 (see M-22), the classification rule and thresholds from FM-05 (see M-23), and the predictor from FM-02 (see M-24). The third resolution also CORRECTED a wrong phase-2B assumption: M-18 described the predictor as a GAMM-derived AUC, whereas the canonical feature is a raw window summary. Recorded as FC-01 in figure1_bridge_conflicts.csv. No value was filled from convention in either phase."
"MRT-12","version mismatch","package versions, seeds, ontology release","OUTSTANDING","METHODS TODO MT-01: still to be inserted from the run manifests"
