"legacy_path","policy","reason","frozen_objects_beneath","files","bytes","active_writers","n_active_writers","authoritative_copy"
"results/differential_abundance","ACTIVE_NOT_LEGACY","active: a registered writer still declares output here",0,0,0,"run_clusterprofiler_enrichment.R | audit_gsea_protein_direction.R | compare_go_enrichment.R | annotate_neuropil_reference.R | test_microglia_targeted_signatures.R | summarize_biological_programs.R | build_go_program_atlas.R | compare_external_stress_signatures.R | validate_control_spatial_identity.R | build_sus_res_dap_atlas.R | audit_stress_response_biology.R",11,"this path"
"results/enrichment","ACTIVE_NOT_LEGACY","active: a registered writer still declares output here",0,0,0,"run_ewce_celltype_enrichment.R",1,"this path"
"results/figures/06_modules_WGCNA","ACTIVE_NOT_LEGACY","active: a registered writer still declares output here",0,4497,119681629,"render_module_go_heatmaps.R | render_module_figures.R | summarize_module_scores.R | render_microglia_module_figures.R | render_microglia_independence_figures.R | summarize_microglia_roi_specificity.R",6,"this path"
"results/logs/01_preprocessing","ACTIVE_NOT_LEGACY","active: a registered writer still declares output here",0,38,66243,"build_module_score_metadata.R | build_joint_protigy_input.R",2,"this path"
"results/logs/06_modules_WGCNA","ACTIVE_NOT_LEGACY","active: a registered writer still declares output here",0,201,13975353,"build_module_identity_contract.R | render_microglia_module_figures.R | summarize_module_complex_architecture.R | audit_module_robustness.R",4,"this path"
"results/manuscript","ACTIVE_NOT_LEGACY","active: a registered writer still declares output here",0,433305,NA,"08_export_manuscript_figures.R | 09_export_source_data.R",2,"this path"
"results/qc","ACTIVE_NOT_LEGACY","active: a registered writer still declares output here",0,0,0,"assess_joint_compartment_quality.R | render_joint_compartment_qc_figures.R | build_reference_marker_registry.R | discover_empirical_roi_markers.R | assess_dataset_quality.R | assess_sample_quality.R | summarize_missingness.R | assess_replicate_consistency.R | assess_marker_rank_abundance.R | summarize_marker_detectability.R | assess_pca_confounding.R | partition_variance.R | export_marker_traits.R | summarize_qc_confounding.R | render_compartment_abundance_figures.R",15,"this path"
"results/reports/01_preprocessing","ACTIVE_NOT_LEGACY","active: a registered writer still declares output here",0,4,5166,"build_module_score_metadata.R",1,"this path"
"results/reports/06_modules_WGCNA","ACTIVE_NOT_LEGACY","active: a registered writer still declares output here",0,10,8885,"build_module_identity_contract.R | summarize_microglia_roi_specificity.R",2,"this path"
"results/reviewer_audit","ACTIVE_NOT_LEGACY","active: a registered writer still declares output here",0,190,75667960,"test_microglia_neuropil_independence.R | audit_microglia_module_claims.R | summarize_microglia_module_claims.R | audit_module_label_coherence.R | adjudicate_module_labels.R | build_module_label_registry.R | build_biological_claims_table.R",7,"this path"
"results/source_data/06_modules_WGCNA","ACTIVE_NOT_LEGACY","active: a registered writer still declares output here",0,334,116128574,"build_module_identity_contract.R | render_microglia_module_figures.R | render_microglia_independence_figures.R | summarize_microglia_roi_specificity.R | summarize_module_complex_architecture.R | audit_module_robustness.R | audit_module_claim_readiness.R",7,"this path"
"results/spatial_networks","ACTIVE_NOT_LEGACY","active: a registered writer still declares output here",0,0,0,"build_spatial_networks.R | build_differential_networks.R | test_network_stability.R | test_differential_network_stability.R | render_differential_network_figures.R | render_network_chord_diagram.R",6,"this path"
"results/spatial_validation","ACTIVE_NOT_LEGACY","active: a registered writer still declares output here",0,0,0,"build_spatial_data_contract.R | quantify_bilateral_spatial_identity.R | quantify_empirical_compartments.R | quantify_module_bilateral_identity.R | annotate_module_celltypes.R | decompose_bilateral_variance.R | validate_spatial_foundations.R | build_module_spatial_atlas.R | build_protein_spatial_atlas.R | quantify_neuropil_detection_context.R | summarize_spatial_atlas.R | quantify_neuropil_precision.R | build_animal_spatial_networks.R | test_network_group_organization.R | validate_network_workbook.R | audit_ca2_slm_robustness.R | audit_stress_identity_robustness.R | summarize_ca2_slm_robustness.R",18,"this path"
"results/tables/01_preprocessing","ACTIVE_NOT_LEGACY","active: a registered writer still declares output here",0,37,191193786,"build_module_score_metadata.R",1,"this path"
"results/tables/02_id_mapping","ACTIVE_NOT_LEGACY","active: a registered writer still declares output here",0,330,180056265,"map_protein_identifiers.R",1,"this path"
"results/tables/04_differential_expression_enrichment","ACTIVE_NOT_LEGACY","active: a registered writer still declares output here",0,206,11139541934,"compare_recurrent_module_proteins.R",1,"this path"
"results/tables/06_modules_WGCNA","ACTIVE_NOT_LEGACY","active: a registered writer still declares output here",0,752,516933301,"build_wgcna_modules.R | render_module_go_heatmaps.R | build_curated_overlap_programs.R | score_module_activity.R | compare_module_enrichment_overlap.R | build_module_identity_contract.R | test_module_phenotypes.R | annotate_module_microenvironment.R | summarize_module_interpretation.R | render_module_figures.R | summarize_module_scores.R | render_microglia_module_figures.R | test_microglia_neuropil_independence.R | summarize_microglia_roi_specificity.R | summarize_module_complex_architecture.R | audit_module_robustness.R | audit_module_claim_readiness.R",17,"this path"
"results/figures/manuscript","LEGACY_READ_ONLY","manuscript rendering layer moved to Exp9_manuscript in Phase 6C; artefacts frozen",39,101,38866386,"",0,"Exp9_manuscript (imported and hash-verified in provenance/source_manifests/)"
"results/figures/manuscript_candidates","LEGACY_READ_ONLY","manuscript rendering layer moved to Exp9_manuscript in Phase 6C; artefacts frozen",35,574,402232082,"",0,"Exp9_manuscript (imported and hash-verified in provenance/source_manifests/)"
"results/source_data/manuscript_candidates","LEGACY_READ_ONLY","manuscript rendering layer moved to Exp9_manuscript in Phase 6C; artefacts frozen",35,277,23644318,"",0,"Exp9_manuscript (imported and hash-verified in provenance/source_manifests/)"
"results/tables/11_spatial_systems","LEGACY_READ_ONLY","manuscript rendering layer moved to Exp9_manuscript in Phase 6C; artefacts frozen",11,153,33294888,"",0,"this path"
