"dataset","level","entity_id","reviewed_biological_label","reviewed_short_label","subcellular_context","roi_context","label_confidence","manual_review_required","aggregation_evidence_class","structural_status","rationale","reviewer","proposal_prepared_by","review_date","adjudication_status"
"microglia","module","WGCNA_m01","Mitochondrial gene expression and oxidative phosphorylation","Mitochondrial translation/OXPHOS","mitochondrial ribosome; mitochondrial inner membrane; respiratory-chain machinery","Shared microglia-neuropil ROI; mitochondrial housekeeping signal, not evidence of microglia identity","high",FALSE,"not_applicable_module","module","Strong BP and CC support, broad protein coverage, mitochondrial hubs and strong preservation converge; retain process label and keep ROI context separate.","Tobias Pohl","Codex pre-adjudication preparation","2026-07-21","reviewed"
"microglia","module","WGCNA_m02","Membrane organization and ion handling","Membrane / ion handling","endoplasmic-reticulum membrane; basal/presynaptic plasma membrane; membrane-associated cytoskeleton","Shared microglia-neuropil ROI; membrane and cytoskeletal context is not cell-type specific","low",FALSE,"not_applicable_module","module","Significant membrane-related cellular-component evidence with mixed channel, receptor and cytoskeletal proteins; no single specific signalling pathway is claimed.","Tobias Pohl","User-directed final adjudication","2026-07-21","reviewed"
"microglia","module","WGCNA_m03","Axonal microtubule organization and secretory trafficking","Microtubule / secretion","axon and polymeric microtubule cytoskeleton; secretory vesicle/granule; chaperonin complex","Neuropil/axonal microenvironment context; do not interpret as microglia-intrinsic","moderate",FALSE,"not_applicable_module","module","Reproductive GO annotation is driven by low-ranking non-hub proteins; broader GO, hub and localization evidence supports axonal microtubule, secretory and chaperonin biology.","Tobias Pohl","User-directed final adjudication","2026-07-21","reviewed"
"microglia","module","WGCNA_m04","Synaptic vesicle endocytosis and membrane trafficking","Synaptic vesicle endocytosis","presynaptic membrane; endocytic/exocytic vesicles; microtubule-organizing structures retained separately","Neuropil/synaptic microenvironment context; do not interpret as microglia-intrinsic","moderate",FALSE,"not_applicable_module","module","Significant presynaptic-endocytosis evidence is supported by vesicle and hub context; centrosome/MTOC evidence should remain a secondary, separate theme.","Tobias Pohl","Codex pre-adjudication preparation","2026-07-21","reviewed"
"microglia","module","WGCNA_m05","Actin remodeling and synaptic signalling regulation","Actin / synaptic regulation","actin cytoskeleton; myosin-II-associated machinery; synaptic signaling apparatus","Shared microglia-neuropil ROI with neuronal/synaptic context; intrinsic attribution unresolved","moderate",FALSE,"not_applicable_module","module","Two related significant biological families are present in the small module; the prior hydrolase label was excessively broad.","Tobias Pohl","User-directed final adjudication","2026-07-21","reviewed"
"microglia","module","WGCNA_m06","Basement-membrane and extracellular-matrix organization","Basement membrane/ECM","basement membrane; extracellular matrix; cell-matrix adhesion sites","Vascular/perivascular basement-membrane context; do not interpret as microglia-intrinsic ECM biology","high",FALSE,"not_applicable_module","module","Integrin, ECM and basement-membrane evidence is coherent and preserved, but the marker pattern is vascular/perivascular local microenvironment rather than microglia-intrinsic biology.","Tobias Pohl","Codex pre-adjudication preparation","2026-07-21","reviewed"
"microglia","module","WGCNA_m07","Cytosolic ribosomal translation","Cytosolic translation","cytosolic ribosome and translation machinery","Soma-enriched housekeeping/translation context; not a cell-identity claim","high",FALSE,"not_applicable_module","module","Extremely strong translation/ribosome evidence and soma enrichment converge; this is a housekeeping process label rather than a cell-type label.","Tobias Pohl","Codex pre-adjudication preparation","2026-07-21","reviewed"
"microglia","module","WGCNA_m08","Synapse organization and postsynaptic signaling","Synapse/postsynaptic signaling","synapse; postsynaptic compartment; vesicle membrane; neuronal projection","Neuropil/synaptic ROI context; do not interpret as microglia-intrinsic synaptic biology","high",FALSE,"not_applicable_module","module","Synapse-organization evidence, CC terms and hubs converge; the biological process is defensible only as neuropil/ROI context in a microglia-enriched dissection.","Tobias Pohl","Codex pre-adjudication preparation","2026-07-21","reviewed"
"microglia","module","WGCNA_m09","Mixed metabolic and neuronal-structural proteins","Metabolic / structural","mixed mitochondrial/metabolic, neuronal-structural and cell-junction proteins; cornified-envelope signal from low-kME subset","Mixed ROI/context signal; skin/tissue-identity evidence is not biologically credible for naming","low",FALSE,"not_applicable_module","module","Skin-development enrichment is driven by low-ranking non-hub proteins; dominant hubs support metabolic and neuronal-structural themes without a defensible unified mechanism.","Tobias Pohl","User-directed final adjudication","2026-07-21","reviewed"
"microglia","module","WGCNA_m10","Actin-cytoskeleton remodeling","Actin remodeling","actin cytoskeleton and remodeling machinery","Shared microglia-neuropil ROI; actin process is broadly cellular rather than microglia-specific","moderate",FALSE,"not_applicable_module","module","Actin/cytoskeletal GO terms and hubs converge; keep this distinct from microtubule/centrosomal and vesicle themes.","Tobias Pohl","Codex pre-adjudication preparation","2026-07-21","reviewed"
